Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,8,SCALAR,0.167000
Uniform,PDF,8,VECTORIZED,0.042000
Uniform,PDF,8,PARALLEL,0.042000
Uniform,PDF,8,WORK_STEALING,0.042000
Uniform,LogPDF,8,SCALAR,0.167000
Uniform,LogPDF,8,VECTORIZED,0.042000
Uniform,LogPDF,8,PARALLEL,0.042000
Uniform,LogPDF,8,WORK_STEALING,0.042000
Uniform,CDF,8,SCALAR,0.167000
Uniform,CDF,8,VECTORIZED,0.042000
Uniform,CDF,8,PARALLEL,0.042000
Uniform,CDF,8,WORK_STEALING,0.125000
Uniform,PDF,16,SCALAR,0.750000
Uniform,PDF,16,VECTORIZED,0.083000
Uniform,PDF,16,PARALLEL,0.125000
Uniform,PDF,16,WORK_STEALING,0.125000
Uniform,LogPDF,16,SCALAR,0.791000
Uniform,LogPDF,16,VECTORIZED,0.125000
Uniform,LogPDF,16,PARALLEL,0.166000
Uniform,LogPDF,16,WORK_STEALING,0.125000
Uniform,CDF,16,SCALAR,0.875000
Uniform,CDF,16,VECTORIZED,0.167000
Uniform,CDF,16,PARALLEL,0.125000
Uniform,CDF,16,WORK_STEALING,0.125000
Uniform,PDF,32,SCALAR,1.583000
Uniform,PDF,32,VECTORIZED,0.125000
Uniform,PDF,32,PARALLEL,0.166000
Uniform,PDF,32,WORK_STEALING,0.125000
Uniform,LogPDF,32,SCALAR,1.459000
Uniform,LogPDF,32,VECTORIZED,0.125000
Uniform,LogPDF,32,PARALLEL,0.167000
Uniform,LogPDF,32,WORK_STEALING,0.166000
Uniform,CDF,32,SCALAR,1.542000
Uniform,CDF,32,VECTORIZED,0.208000
Uniform,CDF,32,PARALLEL,0.166000
Uniform,CDF,32,WORK_STEALING,0.167000
Uniform,PDF,64,SCALAR,1.209000
Uniform,PDF,64,VECTORIZED,0.083000
Uniform,PDF,64,PARALLEL,0.083000
Uniform,PDF,64,WORK_STEALING,0.083000
Uniform,LogPDF,64,SCALAR,1.250000
Uniform,LogPDF,64,VECTORIZED,0.083000
Uniform,LogPDF,64,PARALLEL,0.083000
Uniform,LogPDF,64,WORK_STEALING,0.083000
Uniform,CDF,64,SCALAR,1.250000
Uniform,CDF,64,VECTORIZED,0.083000
Uniform,CDF,64,PARALLEL,0.083000
Uniform,CDF,64,WORK_STEALING,0.083000
Uniform,PDF,128,SCALAR,2.500000
Uniform,PDF,128,VECTORIZED,0.125000
Uniform,PDF,128,PARALLEL,0.125000
Uniform,PDF,128,WORK_STEALING,0.125000
Uniform,LogPDF,128,SCALAR,2.458000
Uniform,LogPDF,128,VECTORIZED,0.125000
Uniform,LogPDF,128,PARALLEL,0.125000
Uniform,LogPDF,128,WORK_STEALING,0.125000
Uniform,CDF,128,SCALAR,2.458000
Uniform,CDF,128,VECTORIZED,0.167000
Uniform,CDF,128,PARALLEL,0.125000
Uniform,CDF,128,WORK_STEALING,0.125000
Uniform,PDF,256,SCALAR,4.959000
Uniform,PDF,256,VECTORIZED,0.208000
Uniform,PDF,256,PARALLEL,0.208000
Uniform,PDF,256,WORK_STEALING,0.208000
Uniform,LogPDF,256,SCALAR,5.000000
Uniform,LogPDF,256,VECTORIZED,0.208000
Uniform,LogPDF,256,PARALLEL,0.208000
Uniform,LogPDF,256,WORK_STEALING,0.208000
Uniform,CDF,256,SCALAR,4.875000
Uniform,CDF,256,VECTORIZED,0.333000
Uniform,CDF,256,PARALLEL,0.208000
Uniform,CDF,256,WORK_STEALING,0.208000
Uniform,PDF,512,SCALAR,9.792000
Uniform,PDF,512,VECTORIZED,0.375000
Uniform,PDF,512,PARALLEL,0.417000
Uniform,PDF,512,WORK_STEALING,0.375000
Uniform,LogPDF,512,SCALAR,10.041000
Uniform,LogPDF,512,VECTORIZED,0.375000
Uniform,LogPDF,512,PARALLEL,0.375000
Uniform,LogPDF,512,WORK_STEALING,0.417000
Uniform,CDF,512,SCALAR,9.875000
Uniform,CDF,512,VECTORIZED,0.584000
Uniform,CDF,512,PARALLEL,0.458000
Uniform,CDF,512,WORK_STEALING,0.375000
Uniform,PDF,1000,SCALAR,19.334000
Uniform,PDF,1000,VECTORIZED,0.708000
Uniform,PDF,1000,PARALLEL,0.750000
Uniform,PDF,1000,WORK_STEALING,0.708000
Uniform,LogPDF,1000,SCALAR,19.375000
Uniform,LogPDF,1000,VECTORIZED,0.708000
Uniform,LogPDF,1000,PARALLEL,0.750000
Uniform,LogPDF,1000,WORK_STEALING,0.750000
Uniform,CDF,1000,SCALAR,19.333000
Uniform,CDF,1000,VECTORIZED,1.125000
Uniform,CDF,1000,PARALLEL,0.875000
Uniform,CDF,1000,WORK_STEALING,0.750000
Uniform,PDF,2000,SCALAR,38.750000
Uniform,PDF,2000,VECTORIZED,1.417000
Uniform,PDF,2000,PARALLEL,40.875000
Uniform,PDF,2000,WORK_STEALING,23.542000
Uniform,LogPDF,2000,SCALAR,38.750000
Uniform,LogPDF,2000,VECTORIZED,1.375000
Uniform,LogPDF,2000,PARALLEL,44.167000
Uniform,LogPDF,2000,WORK_STEALING,22.291000
Uniform,CDF,2000,SCALAR,38.750000
Uniform,CDF,2000,VECTORIZED,2.250000
Uniform,CDF,2000,PARALLEL,67.625000
Uniform,CDF,2000,WORK_STEALING,29.500000
Uniform,PDF,5000,SCALAR,95.584000
Uniform,PDF,5000,VECTORIZED,3.375000
Uniform,PDF,5000,PARALLEL,110.958000
Uniform,PDF,5000,WORK_STEALING,24.333000
Uniform,LogPDF,5000,SCALAR,96.875000
Uniform,LogPDF,5000,VECTORIZED,3.417000
Uniform,LogPDF,5000,PARALLEL,143.000000
Uniform,LogPDF,5000,WORK_STEALING,30.000000
Uniform,CDF,5000,SCALAR,96.000000
Uniform,CDF,5000,VECTORIZED,5.334000
Uniform,CDF,5000,PARALLEL,144.666000
Uniform,CDF,5000,WORK_STEALING,34.959000
Uniform,PDF,10000,SCALAR,194.167000
Uniform,PDF,10000,VECTORIZED,6.792000
Uniform,PDF,10000,PARALLEL,192.959000
Uniform,PDF,10000,WORK_STEALING,34.875000
Uniform,LogPDF,10000,SCALAR,197.125000
Uniform,LogPDF,10000,VECTORIZED,6.708000
Uniform,LogPDF,10000,PARALLEL,205.333000
Uniform,LogPDF,10000,WORK_STEALING,45.083000
Uniform,CDF,10000,SCALAR,196.500000
Uniform,CDF,10000,VECTORIZED,17.500000
Uniform,CDF,10000,PARALLEL,177.417000
Uniform,CDF,10000,WORK_STEALING,32.666000
Uniform,PDF,20000,SCALAR,388.209000
Uniform,PDF,20000,VECTORIZED,13.500000
Uniform,PDF,20000,PARALLEL,146.125000
Uniform,PDF,20000,WORK_STEALING,43.250000
Uniform,LogPDF,20000,SCALAR,393.417000
Uniform,LogPDF,20000,VECTORIZED,13.458000
Uniform,LogPDF,20000,PARALLEL,227.833000
Uniform,LogPDF,20000,WORK_STEALING,53.084000
Uniform,CDF,20000,SCALAR,388.333000
Uniform,CDF,20000,VECTORIZED,50.000000
Uniform,CDF,20000,PARALLEL,189.375000
Uniform,CDF,20000,WORK_STEALING,52.667000
Uniform,PDF,50000,SCALAR,970.125000
Uniform,PDF,50000,VECTORIZED,33.833000
Uniform,PDF,50000,PARALLEL,127.208000
Uniform,PDF,50000,WORK_STEALING,82.958000
Uniform,LogPDF,50000,SCALAR,986.417000
Uniform,LogPDF,50000,VECTORIZED,33.583000
Uniform,LogPDF,50000,PARALLEL,132.708000
Uniform,LogPDF,50000,WORK_STEALING,98.584000
Uniform,CDF,50000,SCALAR,973.125000
Uniform,CDF,50000,VECTORIZED,215.416000
Uniform,CDF,50000,PARALLEL,158.708000
Uniform,CDF,50000,WORK_STEALING,78.292000
Uniform,PDF,100000,SCALAR,1953.958000
Uniform,PDF,100000,VECTORIZED,67.500000
Uniform,PDF,100000,PARALLEL,164.375000
Uniform,PDF,100000,WORK_STEALING,120.792000
Uniform,LogPDF,100000,SCALAR,1973.458000
Uniform,LogPDF,100000,VECTORIZED,98.334000
Uniform,LogPDF,100000,PARALLEL,154.708000
Uniform,LogPDF,100000,WORK_STEALING,146.083000
Uniform,CDF,100000,SCALAR,1925.875000
Uniform,CDF,100000,VECTORIZED,475.375000
Uniform,CDF,100000,PARALLEL,155.583000
Uniform,CDF,100000,WORK_STEALING,123.000000
Uniform,PDF,250000,SCALAR,4920.500000
Uniform,PDF,250000,VECTORIZED,167.459000
Uniform,PDF,250000,PARALLEL,378.750000
Uniform,PDF,250000,WORK_STEALING,257.000000
Uniform,LogPDF,250000,SCALAR,4861.125000
Uniform,LogPDF,250000,VECTORIZED,167.458000
Uniform,LogPDF,250000,PARALLEL,335.958000
Uniform,LogPDF,250000,WORK_STEALING,263.166000
Uniform,CDF,250000,SCALAR,4783.959000
Uniform,CDF,250000,VECTORIZED,1195.375000
Uniform,CDF,250000,PARALLEL,291.125000
Uniform,CDF,250000,WORK_STEALING,244.625000
Uniform,PDF,500000,SCALAR,9856.875000
Uniform,PDF,500000,VECTORIZED,335.292000
Uniform,PDF,500000,PARALLEL,690.833000
Uniform,PDF,500000,WORK_STEALING,552.875000
Uniform,LogPDF,500000,SCALAR,9841.875000
Uniform,LogPDF,500000,VECTORIZED,335.208000
Uniform,LogPDF,500000,PARALLEL,625.083000
Uniform,LogPDF,500000,WORK_STEALING,506.917000
Uniform,CDF,500000,SCALAR,9955.875000
Uniform,CDF,500000,VECTORIZED,2494.208000
Uniform,CDF,500000,PARALLEL,528.917000
Uniform,CDF,500000,WORK_STEALING,413.292000
Gaussian,PDF,8,SCALAR,0.167000
Gaussian,PDF,8,VECTORIZED,0.083000
Gaussian,PDF,8,PARALLEL,0.083000
Gaussian,PDF,8,WORK_STEALING,0.209000
Gaussian,LogPDF,8,SCALAR,0.375000
Gaussian,LogPDF,8,VECTORIZED,0.166000
Gaussian,LogPDF,8,PARALLEL,0.125000
Gaussian,LogPDF,8,WORK_STEALING,0.042000
Gaussian,CDF,8,SCALAR,0.208000
Gaussian,CDF,8,VECTORIZED,0.166000
Gaussian,CDF,8,PARALLEL,0.125000
Gaussian,CDF,8,WORK_STEALING,0.125000
Gaussian,PDF,16,SCALAR,0.333000
Gaussian,PDF,16,VECTORIZED,0.125000
Gaussian,PDF,16,PARALLEL,0.083000
Gaussian,PDF,16,WORK_STEALING,0.083000
Gaussian,LogPDF,16,SCALAR,0.333000
Gaussian,LogPDF,16,VECTORIZED,0.083000
Gaussian,LogPDF,16,PARALLEL,0.042000
Gaussian,LogPDF,16,WORK_STEALING,0.042000
Gaussian,CDF,16,SCALAR,0.458000
Gaussian,CDF,16,VECTORIZED,0.250000
Gaussian,CDF,16,PARALLEL,0.250000
Gaussian,CDF,16,WORK_STEALING,0.208000
