Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,64,SCALAR,3.583000
Uniform,PDF,64,VECTORIZED,0.125000
Uniform,PDF,64,PARALLEL,0.166000
Uniform,PDF,64,WORK_STEALING,0.042000
Uniform,LogPDF,64,SCALAR,1.250000
Uniform,LogPDF,64,VECTORIZED,0.042000
Uniform,LogPDF,64,PARALLEL,0.042000
Uniform,LogPDF,64,WORK_STEALING,0.042000
Uniform,CDF,64,SCALAR,1.334000
Uniform,CDF,64,VECTORIZED,0.125000
Uniform,CDF,64,PARALLEL,0.083000
Uniform,CDF,64,WORK_STEALING,0.083000
Uniform,PDF,128,SCALAR,2.417000
Uniform,PDF,128,VECTORIZED,0.042000
Uniform,PDF,128,PARALLEL,0.042000
Uniform,PDF,128,WORK_STEALING,0.042000
Uniform,LogPDF,128,SCALAR,2.541000
Uniform,LogPDF,128,VECTORIZED,0.042000
Uniform,LogPDF,128,PARALLEL,0.042000
Uniform,LogPDF,128,WORK_STEALING,0.042000
Uniform,CDF,128,SCALAR,2.458000
Uniform,CDF,128,VECTORIZED,0.167000
Uniform,CDF,128,PARALLEL,0.125000
Uniform,CDF,128,WORK_STEALING,0.125000
Uniform,PDF,256,SCALAR,5.042000
Uniform,PDF,256,VECTORIZED,0.083000
Uniform,PDF,256,PARALLEL,0.083000
Uniform,PDF,256,WORK_STEALING,0.083000
Uniform,LogPDF,256,SCALAR,4.958000
Uniform,LogPDF,256,VECTORIZED,0.083000
Uniform,LogPDF,256,PARALLEL,0.083000
Uniform,LogPDF,256,WORK_STEALING,0.083000
Uniform,CDF,256,SCALAR,5.084000
Uniform,CDF,256,VECTORIZED,0.333000
Uniform,CDF,256,PARALLEL,0.250000
Uniform,CDF,256,WORK_STEALING,0.208000
Uniform,PDF,512,SCALAR,10.125000
Uniform,PDF,512,VECTORIZED,0.125000
Uniform,PDF,512,PARALLEL,0.125000
Uniform,PDF,512,WORK_STEALING,0.125000
Uniform,LogPDF,512,SCALAR,9.958000
Uniform,LogPDF,512,VECTORIZED,0.125000
Uniform,LogPDF,512,PARALLEL,0.125000
Uniform,LogPDF,512,WORK_STEALING,0.125000
Uniform,CDF,512,SCALAR,10.125000
Uniform,CDF,512,VECTORIZED,0.625000
Uniform,CDF,512,PARALLEL,0.458000
Uniform,CDF,512,WORK_STEALING,0.375000
Uniform,PDF,1024,SCALAR,20.417000
Uniform,PDF,1024,VECTORIZED,0.208000
Uniform,PDF,1024,PARALLEL,0.750000
Uniform,PDF,1024,WORK_STEALING,0.250000
Uniform,LogPDF,1024,SCALAR,20.250000
Uniform,LogPDF,1024,VECTORIZED,0.208000
Uniform,LogPDF,1024,PARALLEL,0.791000
Uniform,LogPDF,1024,WORK_STEALING,0.208000
Uniform,CDF,1024,SCALAR,20.458000
Uniform,CDF,1024,VECTORIZED,1.125000
Uniform,CDF,1024,PARALLEL,0.834000
Uniform,CDF,1024,WORK_STEALING,0.792000
Uniform,PDF,2048,SCALAR,40.709000
Uniform,PDF,2048,VECTORIZED,0.375000
Uniform,PDF,2048,PARALLEL,34.750000
Uniform,PDF,2048,WORK_STEALING,9.208000
Uniform,LogPDF,2048,SCALAR,40.875000
Uniform,LogPDF,2048,VECTORIZED,0.375000
Uniform,LogPDF,2048,PARALLEL,36.833000
Uniform,LogPDF,2048,WORK_STEALING,16.792000
Uniform,CDF,2048,SCALAR,40.792000
Uniform,CDF,2048,VECTORIZED,2.250000
Uniform,CDF,2048,PARALLEL,39.291000
Uniform,CDF,2048,WORK_STEALING,23.125000
Uniform,PDF,4096,SCALAR,80.792000
Uniform,PDF,4096,VECTORIZED,0.708000
Uniform,PDF,4096,PARALLEL,89.375000
Uniform,PDF,4096,WORK_STEALING,21.458000
Uniform,LogPDF,4096,SCALAR,81.166000
