Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,8,SCALAR,0.575000
Uniform,PDF,8,VECTORIZED,0.131000
Uniform,PDF,8,PARALLEL,0.143000
Uniform,PDF,8,WORK_STEALING,0.139000
Uniform,LogPDF,8,SCALAR,0.556000
Uniform,LogPDF,8,VECTORIZED,0.138000
Uniform,LogPDF,8,PARALLEL,0.148000
Uniform,LogPDF,8,WORK_STEALING,0.278000
Uniform,CDF,8,SCALAR,0.707000
Uniform,CDF,8,VECTORIZED,0.291000
Uniform,CDF,8,PARALLEL,0.225000
Uniform,CDF,8,WORK_STEALING,0.295000
Uniform,PDF,16,SCALAR,1.277000
Uniform,PDF,16,VECTORIZED,0.182000
Uniform,PDF,16,PARALLEL,0.215000
Uniform,PDF,16,WORK_STEALING,0.269000
Uniform,LogPDF,16,SCALAR,1.344000
Uniform,LogPDF,16,VECTORIZED,0.192000
Uniform,LogPDF,16,PARALLEL,0.256000
Uniform,LogPDF,16,WORK_STEALING,0.300000
Uniform,CDF,16,SCALAR,1.411000
Uniform,CDF,16,VECTORIZED,0.342000
Uniform,CDF,16,PARALLEL,0.254000
Uniform,CDF,16,WORK_STEALING,0.266000
Uniform,PDF,32,SCALAR,2.679000
Uniform,PDF,32,VECTORIZED,0.205000
Uniform,PDF,32,PARALLEL,0.266000
Uniform,PDF,32,WORK_STEALING,0.295000
Uniform,LogPDF,32,SCALAR,2.624000
Uniform,LogPDF,32,VECTORIZED,0.227000
Uniform,LogPDF,32,PARALLEL,0.273000
Uniform,LogPDF,32,WORK_STEALING,0.306000
Uniform,CDF,32,SCALAR,2.670000
Uniform,CDF,32,VECTORIZED,0.460000
Uniform,CDF,32,PARALLEL,0.309000
Uniform,CDF,32,WORK_STEALING,0.349000
Uniform,PDF,64,SCALAR,4.563000
Uniform,PDF,64,VECTORIZED,0.228000
Uniform,PDF,64,PARALLEL,0.329000
Uniform,PDF,64,WORK_STEALING,0.315000
Uniform,LogPDF,64,SCALAR,4.299000
Uniform,LogPDF,64,VECTORIZED,0.168000
Uniform,LogPDF,64,PARALLEL,0.229000
Uniform,LogPDF,64,WORK_STEALING,0.169000
Uniform,CDF,64,SCALAR,5.222000
Uniform,CDF,64,VECTORIZED,0.452000
Uniform,CDF,64,PARALLEL,0.379000
Uniform,CDF,64,WORK_STEALING,0.417000
Uniform,PDF,128,SCALAR,10.458000
Uniform,PDF,128,VECTORIZED,0.295000
Uniform,PDF,128,PARALLEL,0.465000
Uniform,PDF,128,WORK_STEALING,0.328000
Uniform,LogPDF,128,SCALAR,10.057000
Uniform,LogPDF,128,VECTORIZED,0.318000
Uniform,LogPDF,128,PARALLEL,0.548000
Uniform,LogPDF,128,WORK_STEALING,0.381000
Uniform,CDF,128,SCALAR,10.436000
Uniform,CDF,128,VECTORIZED,0.595000
Uniform,CDF,128,PARALLEL,0.588000
