distribution,operation,batch_size,best_strategy,best_time_us,scalar_time_us,speedup_vs_scalar
Beta,CDF,8,VECTORIZED,0.25,0.5,2.0
Beta,CDF,16,VECTORIZED,0.5,1.041,2.082
Beta,CDF,32,VECTORIZED,0.875,1.917,2.191
Beta,CDF,64,VECTORIZED,1.541,3.5,2.271
Beta,CDF,128,WORK_STEALING,3.5,7.708,2.202
Beta,CDF,256,WORK_STEALING,7.125,16.292,2.287
Beta,CDF,512,VECTORIZED,13.125,30.333,2.311
Beta,CDF,1000,VECTORIZED,26.667,60.167,2.256
Beta,CDF,2000,VECTORIZED,56.292,123.333,2.191
Beta,CDF,5000,WORK_STEALING,87.667,307.417,3.507
Beta,CDF,10000,WORK_STEALING,135.167,932.583,6.899
Beta,CDF,20000,PARALLEL,232.875,1215.209,5.218
Beta,CDF,50000,WORK_STEALING,501.958,3066.0,6.108
Beta,CDF,100000,PARALLEL,974.0,6126.084,6.29
Beta,CDF,250000,WORK_STEALING,2350.834,15287.083,6.503
Beta,CDF,500000,WORK_STEALING,4634.916,30740.667,6.632
Beta,LogPDF,8,SCALAR,0.167,0.167,1.0
Beta,LogPDF,16,PARALLEL,0.25,0.334,1.336
Beta,LogPDF,32,VECTORIZED,0.375,0.708,1.888
Beta,LogPDF,64,VECTORIZED,0.708,1.417,2.001
Beta,LogPDF,128,WORK_STEALING,1.084,2.958,2.729
Beta,LogPDF,256,VECTORIZED,1.958,5.917,3.022
Beta,LogPDF,512,PARALLEL,4.25,11.875,2.794
Beta,LogPDF,1000,WORK_STEALING,8.292,22.917,2.764
Beta,LogPDF,2000,WORK_STEALING,18.541,135.209,7.292
Beta,LogPDF,5000,PARALLEL,43.875,114.791,2.616
Beta,LogPDF,10000,VECTORIZED,89.875,231.875,2.58
Beta,LogPDF,20000,VECTORIZED,184.583,463.583,2.512
Beta,LogPDF,50000,PARALLEL,465.833,1157.084,2.484
Beta,LogPDF,100000,VECTORIZED,919.459,2302.5,2.504
Beta,LogPDF,250000,WORK_STEALING,2335.167,5785.917,2.478
Beta,LogPDF,500000,WORK_STEALING,4667.417,11512.625,2.467
Beta,PDF,8,SCALAR,0.208,0.208,1.0
Beta,PDF,16,VECTORIZED,0.291,0.416,1.43
Beta,PDF,32,VECTORIZED,0.417,0.791,1.897
Beta,PDF,64,PARALLEL,0.833,1.709,2.052
Beta,PDF,128,WORK_STEALING,1.209,3.542,2.93
Beta,PDF,256,PARALLEL,2.25,7.375,3.278
Beta,PDF,512,WORK_STEALING,4.875,14.666,3.008
Beta,PDF,1000,WORK_STEALING,9.25,29.459,3.185
Beta,PDF,2000,SCALAR,61.625,61.625,1.0
Beta,PDF,5000,WORK_STEALING,50.458,153.5,3.042
Beta,PDF,10000,VECTORIZED,105.666,308.0,2.915
Beta,PDF,20000,WORK_STEALING,218.917,612.084,2.796
Beta,PDF,50000,VECTORIZED,546.167,1535.458,2.811
Beta,PDF,100000,VECTORIZED,1095.667,3082.417,2.813
Beta,PDF,250000,VECTORIZED,2788.334,7717.416,2.768
Beta,PDF,500000,PARALLEL,5575.625,16824.334,3.017
Binomial,CDF,8,SCALAR,1.0,1.0,1.0
Binomial,CDF,16,SCALAR,2.0,2.0,1.0
Binomial,CDF,32,VECTORIZED,4.167,4.209,1.01
Binomial,CDF,64,SCALAR,8.292,8.292,1.0
Binomial,CDF,128,PARALLEL,16.916,16.959,1.003
Binomial,CDF,256,SCALAR,33.458,33.458,1.0
Binomial,CDF,512,PARALLEL,67.25,67.292,1.001
Binomial,CDF,1000,SCALAR,131.792,131.792,1.0
Binomial,CDF,2000,SCALAR,264.125,264.125,1.0
Binomial,CDF,5000,VECTORIZED,660.875,663.208,1.004
Binomial,CDF,10000,VECTORIZED,1339.25,1341.167,1.001
Binomial,CDF,20000,VECTORIZED,2665.792,2670.166,1.002
Binomial,CDF,50000,VECTORIZED,6629.083,6680.875,1.008
Binomial,CDF,100000,VECTORIZED,13206.583,13260.083,1.004
Binomial,CDF,250000,SCALAR,33021.25,33021.25,1.0
Binomial,CDF,500000,VECTORIZED,66132.666,66167.584,1.001
Binomial,LogPDF,8,VECTORIZED,0.167,0.292,1.749
Binomial,LogPDF,16,VECTORIZED,0.292,0.583,1.997
Binomial,LogPDF,32,VECTORIZED,0.667,1.167,1.75
Binomial,LogPDF,64,VECTORIZED,1.25,2.25,1.8
Binomial,LogPDF,128,VECTORIZED,2.541,4.375,1.722
Binomial,LogPDF,256,VECTORIZED,5.125,8.833,1.724
Binomial,LogPDF,512,VECTORIZED,10.583,17.958,1.697
Binomial,LogPDF,1000,VECTORIZED,20.75,35.125,1.693
Binomial,LogPDF,2000,VECTORIZED,41.209,69.834,1.695
Binomial,LogPDF,5000,VECTORIZED,101.375,173.0,1.707
Binomial,LogPDF,10000,VECTORIZED,206.208,350.375,1.699
Binomial,LogPDF,20000,VECTORIZED,418.667,706.375,1.687
Binomial,LogPDF,50000,VECTORIZED,1039.958,1757.625,1.69
Binomial,LogPDF,100000,VECTORIZED,2071.958,3526.5,1.702
Binomial,LogPDF,250000,VECTORIZED,5143.625,8705.083,1.692
Binomial,LogPDF,500000,VECTORIZED,10261.916,17435.041,1.699
Binomial,PDF,8,VECTORIZED,0.208,0.333,1.601
Binomial,PDF,16,VECTORIZED,0.375,0.708,1.888
Binomial,PDF,32,VECTORIZED,0.833,1.375,1.651
Binomial,PDF,64,VECTORIZED,1.625,2.667,1.641
Binomial,PDF,128,VECTORIZED,3.208,5.208,1.623
Binomial,PDF,256,VECTORIZED,6.291,10.542,1.676
Binomial,PDF,512,VECTORIZED,13.166,21.083,1.601
Binomial,PDF,1000,VECTORIZED,25.0,41.667,1.667
Binomial,PDF,2000,VECTORIZED,49.834,83.375,1.673
Binomial,PDF,5000,VECTORIZED,123.125,206.458,1.677
Binomial,PDF,10000,VECTORIZED,250.292,418.75,1.673
Binomial,PDF,20000,VECTORIZED,500.25,834.708,1.669
Binomial,PDF,50000,VECTORIZED,1262.625,2093.625,1.658
Binomial,PDF,100000,VECTORIZED,2513.25,4189.25,1.667
Binomial,PDF,250000,VECTORIZED,6223.458,10375.875,1.667
Binomial,PDF,500000,VECTORIZED,12431.75,20723.375,1.667
ChiSquared,CDF,8,WORK_STEALING,0.167,0.334,2.0
ChiSquared,CDF,16,WORK_STEALING,0.375,0.791,2.109
ChiSquared,CDF,32,WORK_STEALING,0.708,1.5,2.119
ChiSquared,CDF,64,VECTORIZED,1.5,3.25,2.167
ChiSquared,CDF,128,VECTORIZED,3.167,6.625,2.092
ChiSquared,CDF,256,WORK_STEALING,6.375,13.958,2.189
ChiSquared,CDF,512,PARALLEL,14.375,27.916,1.942
ChiSquared,CDF,1000,WORK_STEALING,33.667,136.917,4.067
ChiSquared,CDF,2000,PARALLEL,61.75,114.084,1.848
ChiSquared,CDF,5000,PARALLEL,98.667,287.584,2.915
ChiSquared,CDF,10000,PARALLEL,159.25,576.125,3.618
ChiSquared,CDF,20000,PARALLEL,248.625,1153.459,4.639
ChiSquared,CDF,50000,PARALLEL,540.916,2879.125,5.323
ChiSquared,CDF,100000,WORK_STEALING,1074.583,8521.459,7.93
ChiSquared,CDF,250000,WORK_STEALING,2366.667,15964.375,6.746
ChiSquared,CDF,500000,WORK_STEALING,4881.708,34087.0,6.983
ChiSquared,LogPDF,8,PARALLEL,0.083,0.167,2.012
ChiSquared,LogPDF,16,PARALLEL,0.083,0.333,4.012
ChiSquared,LogPDF,32,WORK_STEALING,0.125,0.625,5.0
