Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,8,SCALAR,0.592000
Uniform,PDF,8,VECTORIZED,0.142000
Uniform,PDF,8,PARALLEL,0.151000
Uniform,PDF,8,WORK_STEALING,0.201000
Uniform,LogPDF,8,SCALAR,0.759000
Uniform,LogPDF,8,VECTORIZED,0.220000
Uniform,LogPDF,8,PARALLEL,0.222000
Uniform,LogPDF,8,WORK_STEALING,0.223000
Uniform,CDF,8,SCALAR,0.762000
Uniform,CDF,8,VECTORIZED,0.257000
Uniform,CDF,8,PARALLEL,0.231000
Uniform,CDF,8,WORK_STEALING,0.194000
Uniform,PDF,16,SCALAR,1.215000
Uniform,PDF,16,VECTORIZED,0.151000
Uniform,PDF,16,PARALLEL,0.188000
Uniform,PDF,16,WORK_STEALING,0.171000
Uniform,LogPDF,16,SCALAR,1.204000
Uniform,LogPDF,16,VECTORIZED,0.171000
Uniform,LogPDF,16,PARALLEL,0.186000
Uniform,LogPDF,16,WORK_STEALING,0.202000
Uniform,CDF,16,SCALAR,1.216000
Uniform,CDF,16,VECTORIZED,0.255000
Uniform,CDF,16,PARALLEL,0.196000
Uniform,CDF,16,WORK_STEALING,0.195000
Uniform,PDF,32,SCALAR,2.359000
Uniform,PDF,32,VECTORIZED,0.153000
Uniform,PDF,32,PARALLEL,0.246000
Uniform,PDF,32,WORK_STEALING,0.174000
Uniform,LogPDF,32,SCALAR,2.394000
Uniform,LogPDF,32,VECTORIZED,0.194000
Uniform,LogPDF,32,PARALLEL,0.224000
Uniform,LogPDF,32,WORK_STEALING,0.189000
Uniform,CDF,32,SCALAR,2.383000
Uniform,CDF,32,VECTORIZED,0.241000
Uniform,CDF,32,PARALLEL,0.246000
Uniform,CDF,32,WORK_STEALING,0.205000
Uniform,PDF,64,SCALAR,5.058000
Uniform,PDF,64,VECTORIZED,0.212000
Uniform,PDF,64,PARALLEL,0.332000
Uniform,PDF,64,WORK_STEALING,0.200000
Uniform,LogPDF,64,SCALAR,4.906000
Uniform,LogPDF,64,VECTORIZED,0.241000
Uniform,LogPDF,64,PARALLEL,0.298000
Uniform,LogPDF,64,WORK_STEALING,0.238000
Uniform,CDF,64,SCALAR,5.045000
Uniform,CDF,64,VECTORIZED,0.347000
Uniform,CDF,64,PARALLEL,0.342000
Uniform,CDF,64,WORK_STEALING,0.253000
Uniform,PDF,128,SCALAR,9.892000
Uniform,PDF,128,VECTORIZED,0.241000
Uniform,PDF,128,PARALLEL,0.481000
Uniform,PDF,128,WORK_STEALING,0.292000
Uniform,LogPDF,128,SCALAR,9.950000
Uniform,LogPDF,128,VECTORIZED,0.273000
Uniform,LogPDF,128,PARALLEL,0.425000
Uniform,LogPDF,128,WORK_STEALING,0.292000
Uniform,CDF,128,SCALAR,10.130000
Uniform,CDF,128,VECTORIZED,0.420000
Uniform,CDF,128,PARALLEL,0.452000
Uniform,CDF,128,WORK_STEALING,0.321000
Uniform,PDF,256,SCALAR,19.183000
Uniform,PDF,256,VECTORIZED,0.298000
Uniform,PDF,256,PARALLEL,0.728000
Uniform,PDF,256,WORK_STEALING,0.211000
Uniform,LogPDF,256,SCALAR,18.952000
Uniform,LogPDF,256,VECTORIZED,0.340000
Uniform,LogPDF,256,PARALLEL,0.597000
Uniform,LogPDF,256,WORK_STEALING,0.309000
Uniform,CDF,256,SCALAR,18.843000
Uniform,CDF,256,VECTORIZED,0.464000
Uniform,CDF,256,PARALLEL,0.499000
Uniform,CDF,256,WORK_STEALING,0.333000
Uniform,PDF,512,SCALAR,37.051000
Uniform,PDF,512,VECTORIZED,0.302000
Uniform,PDF,512,PARALLEL,0.825000
Uniform,PDF,512,WORK_STEALING,0.486000
Uniform,LogPDF,512,SCALAR,37.011000
Uniform,LogPDF,512,VECTORIZED,0.391000
Uniform,LogPDF,512,PARALLEL,0.992000
Uniform,LogPDF,512,WORK_STEALING,0.477000
Uniform,CDF,512,SCALAR,38.476000
Uniform,CDF,512,VECTORIZED,0.959000
Uniform,CDF,512,PARALLEL,1.286000
Uniform,CDF,512,WORK_STEALING,0.836000
Uniform,PDF,1000,SCALAR,73.276000
Uniform,PDF,1000,VECTORIZED,0.716000
Uniform,PDF,1000,PARALLEL,2.726000
Uniform,PDF,1000,WORK_STEALING,0.819000
Uniform,LogPDF,1000,SCALAR,69.663000
Uniform,LogPDF,1000,VECTORIZED,0.532000
Uniform,LogPDF,1000,PARALLEL,2.366000
Uniform,LogPDF,1000,WORK_STEALING,0.482000
Uniform,CDF,1000,SCALAR,70.979000
Uniform,CDF,1000,VECTORIZED,1.360000
Uniform,CDF,1000,PARALLEL,1.709000
Uniform,CDF,1000,WORK_STEALING,1.407000
Uniform,PDF,2000,SCALAR,136.502000
Uniform,PDF,2000,VECTORIZED,1.028000
Uniform,PDF,2000,PARALLEL,4.703000
Uniform,PDF,2000,WORK_STEALING,1.404000
Uniform,LogPDF,2000,SCALAR,143.565000
Uniform,LogPDF,2000,VECTORIZED,1.435000
Uniform,LogPDF,2000,PARALLEL,7.281000
Uniform,LogPDF,2000,WORK_STEALING,0.831000
Uniform,CDF,2000,SCALAR,132.978000
Uniform,CDF,2000,VECTORIZED,4.410000
Uniform,CDF,2000,PARALLEL,5.136000
Uniform,CDF,2000,WORK_STEALING,2.065000
Uniform,PDF,5000,SCALAR,310.142000
Uniform,PDF,5000,VECTORIZED,1.885000
Uniform,PDF,5000,PARALLEL,86.464000
Uniform,PDF,5000,WORK_STEALING,40.897000
Uniform,LogPDF,5000,SCALAR,342.250000
Uniform,LogPDF,5000,VECTORIZED,2.971000
Uniform,LogPDF,5000,PARALLEL,65.507000
Uniform,LogPDF,5000,WORK_STEALING,29.348000
Uniform,CDF,5000,SCALAR,267.070000
Uniform,CDF,5000,VECTORIZED,11.519000
Uniform,CDF,5000,PARALLEL,55.612000
Uniform,CDF,5000,WORK_STEALING,25.634000
Uniform,PDF,10000,SCALAR,524.805000
Uniform,PDF,10000,VECTORIZED,3.427000
Uniform,PDF,10000,PARALLEL,102.317000
Uniform,PDF,10000,WORK_STEALING,27.833000
Uniform,LogPDF,10000,SCALAR,542.895000
Uniform,LogPDF,10000,VECTORIZED,5.925000
Uniform,LogPDF,10000,PARALLEL,101.508000
Uniform,LogPDF,10000,WORK_STEALING,34.562000
Uniform,CDF,10000,SCALAR,565.762000
Uniform,CDF,10000,VECTORIZED,35.327000
Uniform,CDF,10000,PARALLEL,99.462000
Uniform,CDF,10000,WORK_STEALING,37.128000
Uniform,PDF,20000,SCALAR,1175.601000
Uniform,PDF,20000,VECTORIZED,10.867000
Uniform,PDF,20000,PARALLEL,97.441000
Uniform,PDF,20000,WORK_STEALING,37.857000
Uniform,LogPDF,20000,SCALAR,1298.033000
Uniform,LogPDF,20000,VECTORIZED,8.467000
Uniform,LogPDF,20000,PARALLEL,127.296000
Uniform,LogPDF,20000,WORK_STEALING,46.498000
Uniform,CDF,20000,SCALAR,1444.327000
Uniform,CDF,20000,VECTORIZED,125.525000
Uniform,CDF,20000,PARALLEL,94.793000
Uniform,CDF,20000,WORK_STEALING,47.649000
Uniform,PDF,50000,SCALAR,3442.679000
Uniform,PDF,50000,VECTORIZED,22.121000
Uniform,PDF,50000,PARALLEL,162.659000
Uniform,PDF,50000,WORK_STEALING,91.225000
Uniform,LogPDF,50000,SCALAR,3669.920000
Uniform,LogPDF,50000,VECTORIZED,34.774000
Uniform,LogPDF,50000,PARALLEL,169.816000
Uniform,LogPDF,50000,WORK_STEALING,88.386000
Uniform,CDF,50000,SCALAR,3404.270000
Uniform,CDF,50000,VECTORIZED,318.808000
Uniform,CDF,50000,PARALLEL,172.610000
Uniform,CDF,50000,WORK_STEALING,95.622000
Uniform,PDF,100000,SCALAR,6797.237000
Uniform,PDF,100000,VECTORIZED,67.679000
Uniform,PDF,100000,PARALLEL,316.057000
Uniform,PDF,100000,WORK_STEALING,254.240000
Uniform,LogPDF,100000,SCALAR,6691.124000
Uniform,LogPDF,100000,VECTORIZED,69.231000
Uniform,LogPDF,100000,PARALLEL,285.360000
Uniform,LogPDF,100000,WORK_STEALING,178.265000
Uniform,CDF,100000,SCALAR,7417.152000
Uniform,CDF,100000,VECTORIZED,674.531000
Uniform,CDF,100000,PARALLEL,303.839000
Uniform,CDF,100000,WORK_STEALING,184.461000
Uniform,PDF,250000,SCALAR,17564.354000
Uniform,PDF,250000,VECTORIZED,209.306000
Uniform,PDF,250000,PARALLEL,665.071000
Uniform,PDF,250000,WORK_STEALING,399.494000
Uniform,LogPDF,250000,SCALAR,17324.342000
Uniform,LogPDF,250000,VECTORIZED,182.872000
Uniform,LogPDF,250000,PARALLEL,650.693000
Uniform,LogPDF,250000,WORK_STEALING,390.194000
Uniform,CDF,250000,SCALAR,18132.131000
Uniform,CDF,250000,VECTORIZED,1700.726000
Uniform,CDF,250000,PARALLEL,643.514000
Uniform,CDF,250000,WORK_STEALING,415.733000
Uniform,PDF,500000,SCALAR,35403.341000
Uniform,PDF,500000,VECTORIZED,402.518000
Uniform,PDF,500000,PARALLEL,1242.904000
Uniform,PDF,500000,WORK_STEALING,726.928000
Uniform,LogPDF,500000,SCALAR,35235.903000
Uniform,LogPDF,500000,VECTORIZED,486.830000
Uniform,LogPDF,500000,PARALLEL,1198.774000
Uniform,LogPDF,500000,WORK_STEALING,869.824000
Uniform,CDF,500000,SCALAR,40287.186000
Uniform,CDF,500000,VECTORIZED,4205.631000
Uniform,CDF,500000,PARALLEL,1256.224000
Uniform,CDF,500000,WORK_STEALING,1301.832000
Gaussian,PDF,8,SCALAR,0.742000
Gaussian,PDF,8,VECTORIZED,0.320000
Gaussian,PDF,8,PARALLEL,0.258000
Gaussian,PDF,8,WORK_STEALING,0.289000
Gaussian,LogPDF,8,SCALAR,0.760000
Gaussian,LogPDF,8,VECTORIZED,0.296000
Gaussian,LogPDF,8,PARALLEL,0.186000
Gaussian,LogPDF,8,WORK_STEALING,0.199000
